,id,latitude,longitude,name,opening_hours,rating,utc_offset,open_at_hour_0_day_0,open_at_hour_1_day_0,open_at_hour_2_day_0,open_at_hour_3_day_0,open_at_hour_4_day_0,open_at_hour_5_day_0,open_at_hour_6_day_0,open_at_hour_7_day_0,open_at_hour_8_day_0,open_at_hour_9_day_0,open_at_hour_10_day_0,open_at_hour_11_day_0,open_at_hour_12_day_0,open_at_hour_13_day_0,open_at_hour_14_day_0,open_at_hour_15_day_0,open_at_hour_16_day_0,open_at_hour_17_day_0,open_at_hour_18_day_0,open_at_hour_19_day_0,open_at_hour_20_day_0,open_at_hour_21_day_0,open_at_hour_22_day_0,open_at_hour_23_day_0,open_at_hour_0_day_1,open_at_hour_1_day_1,open_at_hour_2_day_1,open_at_hour_3_day_1,open_at_hour_4_day_1,open_at_hour_5_day_1,open_at_hour_6_day_1,open_at_hour_7_day_1,open_at_hour_8_day_1,open_at_hour_9_day_1,open_at_hour_10_day_1,open_at_hour_11_day_1,open_at_hour_12_day_1,open_at_hour_13_day_1,open_at_hour_14_day_1,open_at_hour_15_day_1,open_at_hour_16_day_1,open_at_hour_17_day_1,open_at_hour_18_day_1,open_at_hour_19_day_1,open_at_hour_20_day_1,open_at_hour_21_day_1,open_at_hour_22_day_1,open_at_hour_23_day_1,open_at_hour_0_day_2,open_at_hour_1_day_2,open_at_hour_2_day_2,open_at_hour_3_day_2,open_at_hour_4_day_2,open_at_hour_5_day_2,open_at_hour_6_day_2,open_at_hour_7_day_2,open_at_hour_8_day_2,open_at_hour_9_day_2,open_at_hour_10_day_2,open_at_hour_11_day_2,open_at_hour_12_day_2,open_at_hour_13_day_2,open_at_hour_14_day_2,open_at_hour_15_day_2,open_at_hour_16_day_2,open_at_hour_17_day_2,open_at_hour_18_day_2,open_at_hour_19_day_2,open_at_hour_20_day_2,open_at_hour_21_day_2,open_at_hour_22_day_2,open_at_hour_23_day_2,open_at_hour_0_day_3,open_at_hour_1_day_3,open_at_hour_2_day_3,open_at_hour_3_day_3,open_at_hour_4_day_3,open_at_hour_5_day_3,open_at_hour_6_day_3,open_at_hour_7_day_3,open_at_hour_8_day_3,open_at_hour_9_day_3,open_at_hour_10_day_3,open_at_hour_11_day_3,open_at_hour_12_day_3,open_at_hour_13_day_3,open_at_hour_14_day_3,open_at_hour_15_day_3,open_at_hour_16_day_3,open_at_hour_17_day_3,open_at_hour_18_day_3,open_at_hour_19_day_3,open_at_hour_20_day_3,open_at_hour_21_day_3,open_at_hour_22_day_3,open_at_hour_23_day_3,open_at_hour_0_day_4,open_at_hour_1_day_4,open_at_hour_2_day_4,open_at_hour_3_day_4,open_at_hour_4_day_4,open_at_hour_5_day_4,open_at_hour_6_day_4,open_at_hour_7_day_4,open_at_hour_8_day_4,open_at_hour_9_day_4,open_at_hour_10_day_4,open_at_hour_11_day_4,open_at_hour_12_day_4,open_at_hour_13_day_4,open_at_hour_14_day_4,open_at_hour_15_day_4,open_at_hour_16_day_4,open_at_hour_17_day_4,open_at_hour_18_day_4,open_at_hour_19_day_4,open_at_hour_20_day_4,open_at_hour_21_day_4,open_at_hour_22_day_4,open_at_hour_23_day_4,open_at_hour_0_day_5,open_at_hour_1_day_5,open_at_hour_2_day_5,open_at_hour_3_day_5,open_at_hour_4_day_5,open_at_hour_5_day_5,open_at_hour_6_day_5,open_at_hour_7_day_5,open_at_hour_8_day_5,open_at_hour_9_day_5,open_at_hour_10_day_5,open_at_hour_11_day_5,open_at_hour_12_day_5,open_at_hour_13_day_5,open_at_hour_14_day_5,open_at_hour_15_day_5,open_at_hour_16_day_5,open_at_hour_17_day_5,open_at_hour_18_day_5,open_at_hour_19_day_5,open_at_hour_20_day_5,open_at_hour_21_day_5,open_at_hour_22_day_5,open_at_hour_23_day_5,open_at_hour_0_day_6,open_at_hour_1_day_6,open_at_hour_2_day_6,open_at_hour_3_day_6,open_at_hour_4_day_6,open_at_hour_5_day_6,open_at_hour_6_day_6,open_at_hour_7_day_6,open_at_hour_8_day_6,open_at_hour_9_day_6,open_at_hour_10_day_6,open_at_hour_11_day_6,open_at_hour_12_day_6,open_at_hour_13_day_6,open_at_hour_14_day_6,open_at_hour_15_day_6,open_at_hour_16_day_6,open_at_hour_17_day_6,open_at_hour_18_day_6,open_at_hour_19_day_6,open_at_hour_20_day_6,open_at_hour_21_day_6,open_at_hour_22_day_6,open_at_hour_23_day_6,nb_checkins_by_user_u-1,nb_checkins_by_user_u-2,nb_checkins_by_user_u-3,nb_checkins_by_user_u-4,nb_checkins_by_user_u-5,nb_checkins_by_user_u-6,nb_checkins_by_user_u-7,nb_checkins_by_user_u-8,nb_checkins_by_user_u-9,nb_checkins_by_user_u-10,nb_checkins_by_user_u-11,nb_checkins_by_user_u-12,nb_checkins_by_user_u-13,nb_checkins_by_user_u-14,nb_checkins_by_user_u-15,nb_checkins_by_user_u-16,nb_checkins_by_user_u-17,nb_checkins_total
0,ChIJa6LNPgpu5kcRhgsb7MbmHw8,48.8719869,2.366609,PRUNE DE NUIT,"{'0': [], '1': [], '2': [], '3': [], '4': [], '5': [], '6': []}",4.8,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ChIJaVQu_JBx5kcRJfHbsRGxRB0,48.82822900000001,2.3501436,Cafe du Commerce,"{'0': [{'_1': 12.0, '_2': 15.0}, {'_1': 19.0, '_2': 24.0}, {'_1': 0.0, '_2': 2.0}], '1': [{'_1': 0.0, '_2': 2.0}], '2': [{'_1': 12.0, '_2': 15.0}, {'_1': 19.0, '_2': 24.0}], '3': [{'_1': 0.0, '_2': 2.0}, {'_1': 12.0, '_2': 15.0}, {'_1': 19.0, '_2': 24.0}], '4': [{'_1': 0.0, '_2': 2.0}, {'_1': 12.0, '_2': 15.0}, {'_1': 19.0, '_2': 24.0}], '5': [{'_1': 0.0, '_2': 2.0}, {'_1': 12.0, '_2': 15.0}, {'_1': 19.0, '_2': 24.0}], '6': [{'_1': 0.0, '_2': 2.0}, {'_1': 12.0, '_2': 15.0}, {'_1': 19.0, '_2': 24.0}]}",3.8,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ChIJ773XIjRu5kcRsQxQXK-vgjc,48.8728825,2.3290333999999997,Ce 9,"{'0': [], '1': [], '2': [], '3': [], '4': [], '5': [], '6': []}",0.0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ChIJ75q8H_hC5kcRyqJmeICPr2Y,49.0482166,2.3362524,Morocco Restaurant,"{'0': [{'_1': 12.0, '_2': 14.5}], '1': [], '2': [{'_1': 12.0, '_2': 14.5}, {'_1': 19.0, '_2': 22.5}], '3': [{'_1': 12.0, '_2': 14.5}, {'_1': 19.0, '_2': 22.5}], '4': [{'_1': 12.0, '_2': 14.5}, {'_1': 19.0, '_2': 22.5}], '5': [{'_1': 12.0, '_2': 14.5}, {'_1': 19.0, '_2': 22.5}], '6': [{'_1': 12.0, '_2': 14.5}, {'_1': 19.0, '_2': 22.5}]}",3.7,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ChIJQ64x_xVu5kcRSExgSm4ySNA,48.871536600000006,2.3457812000000002,Okinawa Sushi,"{'0': [{'_1': 19.25, '_2': 23.0}], '1': [{'_1': 11.5, '_2': 14.5}, {'_1': 19.25, '_2': 23.0}], '2': [{'_1': 11.5, '_2': 14.5}, {'_1': 19.25, '_2': 23.0}], '3': [{'_1': 11.5, '_2': 14.5}, {'_1': 19.25, '_2': 23.0}], '4': [{'_1': 11.5, '_2': 14.5}, {'_1': 19.25, '_2': 23.0}], '5': [{'_1': 11.5, '_2': 14.5}, {'_1': 19.25, '_2': 23.0}], '6': [{'_1': 11.5, '_2': 14.5}, {'_1': 19.25, '_2': 23.0}]}",3.6,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ChIJnSdJuBtu5kcRDjV7OcUbw3U,48.8628654,2.3521115999999993,Sainmart,"{'0': [], '1': [], '2': [], '3': [], '4': [], '5': [], '6': []}",0.0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,ChIJR2qQ4vxt5kcRFDrt-Xn8Z58,48.8639709,2.3704037000000002,Sarl Rihosa Hopson,"{'0': [], '1': [], '2': [], '3': [], '4': [], '5': [], '6': []}",0.0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ChIJ_xqB6TZu5kcRygNHisEgUaM,48.873012100000004,2.3307481,Cafe Paulette,"{'0': [{'_1': 11.0, '_2': 19.0}], '1': [{'_1': 9.5, '_2': 21.5}], '2': [{'_1': 9.5, '_2': 21.5}], '3': [{'_1': 9.5, '_2': 21.5}], '4': [{'_1': 9.5, '_2': 21.5}], '5': [{'_1': 9.5, '_2': 21.5}], '6': [{'_1': 9.5, '_2': 21.5}]}",0.0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ChIJVSx9h35MHRURuTfjyIiRjV4,32.0774305,34.7690306,Pizza Bograshov,"{'0': [], '1': [], '2': [], '3': [], '4': [], '5': [], '6': []}",0.0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,ChIJPZrqSSNy5kcRJMI1PDVUt_Y,48.83101509999999,2.3759411,IT,"{'0': [{'_1': 12.0, '_2': 22.5}], '1': [{'_1': 8.0, '_2': 22.5}], '2': [{'_1': 8.0, '_2': 22.5}], '3': [{'_1': 8.0, '_2': 22.5}], '4': [{'_1': 8.0, '_2': 22.5}], '5': [{'_1': 8.0, '_2': 23.0}], '6': [{'_1': 12.0, '_2': 23.0}]}",3.6,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
