Rank,CGPA,Admited
1,4.79,0
1,5.33,0
1,5.7,0
1,5.05,0
1,5.33,0
1,5.58,0
1,5.17,0
1,5.14,0
1,5.36,0
1,5.46,0
1,5.34,0
1,5.79,1
1,5.55,0
1,5.09,0
1,5.46,0
1,5.64,1
1,5.3,0
1,5.85,1
1,4.52,0
1,4.87,0
1,5.66,1
1,5.53,1
1,5.73,1
1,6.02,1
1,5.64,1
1,5.66,1
1,5.07,0
1,4.52,0
1,5.58,1
1,5.88,1
1,5.62,1
1,5.26,0
1,5.88,1
1,5.77,1
1,5.54,1
1,5.49,0
1,5.58,1
1,5.73,1
1,5.71,1
1,6.16,1
1,5.17,0
1,5.71,1
1,5.6,1
1,5.28,0
1,4.36,0
1,5.28,0
1,5.21,0
1,5.77,1
1,5.72,1
1,5.71,1
1,5.78,1
1,5.82,0
1,5.46,0
1,5.52,1
1,5.7,1
1,5.64,0
1,5.09,0
1,5.66,1
1,5.45,0
1,5.64,1
1,5.98,1
1,5.97,1
1,5.37,0
1,5.8,1
1,5.31,0
1,5.72,1
1,5.25,0
1,5.36,0
1,5.16,0
1,4.9,0
1,5.72,1
1,5.31,0
1,5.41,0
1,5.67,1
1,5.65,1
1,5.32,0
1,5.32,0
1,4.51,0
1,5.46,0
1,5.69,1
1,5.6,1
1,5.07,0
1,5.52,0
1,5.89,1
1,5.26,0
1,5.74,1
1,5.48,0
1,5.27,0
1,5.73,1
1,5.21,0
1,5.37,0
1,5.29,0
1,5.6,1
1,5.2,0
1,5.9,1
1,5.11,0
1,5.22,0
1,5.53,1
1,5.62,1
1,5.83,1
1,5.42,0
1,6.24,1
1,5.89,1
1,5.8,1
1,5.69,1
1,5.24,0
1,5.2,0
1,5.82,1
1,5.91,1
1,5.44,0
1,5.17,0
1,5.55,1
1,5.62,1
1,5.37,0
1,5.42,0
1,5.7,1
1,4.89,0
1,5.52,0
1,5.16,0
1,5.83,1
1,5.2,0
1,5.7,1
1,5.3,0
1,5.29,0
1,5.25,0
1,5.68,1
1,6.03,1
1,5.34,0
1,5.44,0
1,5.75,1
1,6.09,1
1,5.99,1
1,5.84,0
1,5.44,0
1,5.08,0
1,5.79,1
1,5.74,1
1,5.69,1
1,5.26,0
1,4.54,0
1,5.7,1
1,5.36,0
1,5.97,1
1,5.63,1
1,5.5,1
1,5.48,0
1,5.54,1
1,5.47,0
1,5.09,0
1,5.29,0
1,5.41,0
1,5.61,0
1,5.37,0
1,5.6,1
1,4.83,0
1,5.68,1
1,5.33,0
1,6.02,1
1,5.66,1
1,5.52,1
1,5.1,0
1,4.87,0
1,5.79,1
1,5.79,1
1,6.09,1
1,5.38,0
1,5.84,1
1,5.03,0
1,5.18,0
1,5.62,1
1,5.27,0
1,4.98,0
1,5.24,0
1,5.9,1
1,5.44,0
1,5.76,1
1,5.74,1
1,5.12,0
1,5.59,1
1,5.85,1
1,5.86,1
1,5.57,1
1,5.05,0
1,5.42,0
1,5.36,0
1,5.31,0
1,4.99,0
1,5.93,1
1,5.72,0
1,6.0,1
1,5.44,0
1,5.79,1
1,6.54,1
1,5.71,1
1,5.03,0
1,4.95,0
1,5.61,1
1,5.49,0
1,5.51,1
1,5.39,0
1,5.16,0
1,5.62,1
1,5.8,1
1,5.55,1
1,5.75,1
1,5.86,1
1,5.44,0
1,5.49,0
1,5.81,1
1,5.55,1
1,6.02,1
1,5.23,0
1,5.44,0
1,4.87,0
1,6.3,1
1,5.2,0
1,5.72,1
1,5.74,1
1,5.63,1
1,5.89,1
1,5.52,1
1,5.75,1
1,5.8,1
1,5.15,0
1,5.02,0
1,5.0,0
1,5.15,0
1,4.44,0
1,5.91,1
1,5.69,1
1,6.08,1
1,5.67,1
1,4.83,0
1,4.88,0
1,6.25,1
1,5.57,1
1,5.7,1
1,5.23,0
1,4.83,0
1,6.49,1
1,5.49,0
1,5.69,1
1,5.41,0
1,6.15,1
1,5.59,0
2,7.28,1
2,6.06,0
2,6.43,0
2,5.42,0
2,6.71,1
2,6.09,1
2,7.08,1
2,5.49,0
2,6.02,0
2,5.32,0
2,5.9,0
2,7.7,1
2,7.34,1
2,5.77,0
2,6.43,0
2,6.22,0
2,5.46,0
2,6.63,1
2,6.38,0
2,7.37,1
2,4.45,0
2,5.76,0
2,6.14,0
2,6.68,1
2,6.6,1
2,5.73,0
2,5.95,0
2,6.86,1
2,6.08,0
2,5.93,0
2,5.93,0
2,6.16,0
