,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
0,2,1.0,1.0,1.0,$361.00,2,15,167
1,6,4.0,1.5,4.0,"$2,397.00",3,30,46
2,12,6.0,2.5,8.0,"$3,100.00",3,31,259
3,2,1.0,1.0,1.0,$801.00,7,14,20
4,4,3.0,1.0,3.0,$860.00,7,31,90
5,3,1.0,1.0,3.0,$749.00,2,10,17
6,4,2.0,2.0,3.0,"$1,084.00",3,365,72
7,4,2.0,1.0,2.0,$591.00,6,1125,7
8,2,1.0,1.0,1.0,$749.00,30,90,15
9,3,2.0,1.0,2.0,$650.00,3,21,13
10,2,1.0,1.0,1.0,$348.00,1,30,171
11,4,2.0,1.0,4.0,$703.00,3,730,8
12,2,1.0,1.0,1.0,$558.00,7,14,72
13,2,1.0,1.0,1.0,$887.00,3,15,65
14,2,1.0,1.0,1.0,$453.00,2,1125,79
15,2,1.0,1.0,1.0,$637.00,2,8,13
16,4,2.0,1.0,3.0,$801.00,5,30,4
17,2,1.0,1.5,1.0,"$1,300.00",2,22,7
18,2,1.0,1.0,1.0,$650.00,3,21,44
19,3,1.0,1.0,2.0,"$1,084.00",5,60,90
20,6,3.0,2.0,2.0,$952.00,2,30,30
21,7,3.0,2.0,3.0,"$1,333.00",5,730,10
22,2,2.0,1.0,2.0,$401.00,7,300,73
23,2,1.0,1.0,1.0,$401.00,7,60,67
24,5,4.0,1.0,5.0,"$1,346.00",6,40,27
25,2,1.0,1.0,1.0,$433.00,3,365,53
26,8,4.0,2.0,8.0,"$1,839.00",2,1125,34
27,4,2.0,1.0,2.0,"$1,950.00",4,1125,22
28,6,2.0,1.0,6.0,"$1,346.00",3,21,13
29,6,2.0,1.0,4.0,$821.00,3,31,38
30,6,4.0,1.0,2.0,$657.00,2,7,2
31,2,1.0,1.0,1.0,$749.00,3,365,6
32,7,4.0,1.0,1.0,"$1,970.00",2,30,40
33,2,1.0,1.0,1.0,$453.00,2,10,30
34,2,1.0,1.0,1.0,$499.00,2,730,89
35,6,3.0,1.0,4.0,"$1,701.00",2,30,74
36,3,1.0,1.0,1.0,$998.00,30,360,183
37,2,1.0,1.0,2.0,$401.00,4,20,15
38,4,1.0,1.0,2.0,$499.00,2,730,49
39,2,1.0,1.0,1.0,$591.00,3,30,5
40,2,2.0,1.0,4.0,$322.00,3,31,46
41,4,1.0,1.0,4.0,$854.00,3,1120,32
42,3,2.0,1.0,2.0,$998.00,3,28,33
43,4,2.0,1.0,3.0,$952.00,4,365,16
44,2,1.0,1.0,1.0,$558.00,5,90,92
45,2,1.0,1.0,1.0,$598.00,3,30,10
47,2,1.0,1.0,1.0,$709.00,5,730,44
48,2,1.0,2.0,2.0,$453.00,7,14,1
49,4,3.0,1.0,3.0,"$1,090.00",4,60,57
50,2,1.0,1.0,2.0,$703.00,1,29,300
51,2,1.0,1.0,1.0,"$1,195.00",5,21,88
52,4,3.0,1.0,3.0,"$1,143.00",3,30,112
53,6,3.0,1.0,3.0,"$1,497.00",4,16,10
54,4,2.0,1.0,2.0,$801.00,3,21,23
55,6,2.0,1.0,3.0,"$1,202.00",6,21,30
56,2,1.0,1.0,2.0,"$1,747.00",4,21,20
57,1,1.0,1.0,1.0,$453.00,1,14,149
58,3,1.0,1.0,2.0,$998.00,2,365,30
59,4,2.0,1.0,2.0,"$1,970.00",3,21,118
60,2,1.0,1.0,1.0,"$1,248.00",5,90,68
61,7,3.0,1.0,5.0,"$1,497.00",1,14,51
62,6,2.0,1.0,6.0,$972.00,7,31,2
63,2,3.0,1.0,1.0,$768.00,3,730,16
64,4,1.0,1.0,2.0,$591.00,3,30,46
65,2,2.0,1.0,2.0,$716.00,2,21,17
66,4,1.0,1.0,1.0,$952.00,3,31,92
67,2,1.0,1.0,1.0,$860.00,3,14,88
68,4,1.0,1.0,2.0,$650.00,2,30,4
69,2,1.0,1.0,1.0,$361.00,1,31,146
70,4,3.0,1.0,4.0,"$1,156.00",2,7,4
71,5,3.0,1.0,3.0,$795.00,5,28,18
72,2,1.0,1.0,2.0,$650.00,3,180,17
73,4,2.0,2.0,2.0,$749.00,5,14,7
74,1,1.0,1.0,1.0,$250.00,1,1124,250
75,5,3.0,1.0,3.0,$932.00,2,7,107
76,6,2.0,1.0,4.0,"$1,123.00",3,21,64
77,9,4.0,1.5,6.0,"$1,484.00",4,90,25
79,3,2.0,1.0,2.0,"$1,451.00",2,60,8
80,2,1.0,1.0,2.0,"$2,187.00",2,1125,4
81,6,4.0,1.0,4.0,"$1,248.00",6,365,0
82,4,1.0,1.0,2.0,"$1,451.00",1,365,15
83,2,0.0,1.0,1.0,$427.00,4,7,4
84,2,1.0,1.0,1.0,$821.00,5,1125,13
85,2,1.0,0.5,1.0,$499.00,4,30,32
86,2,1.0,1.0,1.0,$558.00,2,30,57
87,3,1.0,1.0,2.0,"$1,497.00",3,20,26
88,4,1.0,1.0,2.0,$749.00,4,30,2
89,4,1.0,1.0,4.0,$611.00,5,30,5
90,4,2.0,1.0,2.0,$499.00,4,30,45
91,5,2.0,1.0,5.0,$847.00,4,30,32
92,2,1.0,1.0,1.0,$650.00,3,14,11
93,3,1.0,1.0,1.0,$703.00,5,10,45
94,8,3.0,1.0,8.0,"$1,281.00",2,30,45
