Height,3-Pointers,Pro-Player
187,24,1
210,15,0
184,15,0
208,19,1
175,15,0
173,13,1
197,7,0
172,20,1
195,6,0
226,20,0
195,15,0
196,27,1
204,8,0
217,22,0
181,14,0
192,14,0
206,11,0
178,17,1
217,20,1
202,26,1
185,14,0
205,25,1
172,14,0
215,21,1
187,23,1
217,24,0
183,16,0
202,24,1
202,10,0
173,17,0
207,17,0
186,15,0
183,18,0
189,16,0
203,11,0
196,26,1
210,17,0
186,22,1
186,15,0
201,15,0
207,23,1
183,22,1
221,26,1
203,24,1
206,14,0
177,21,1
188,25,1
190,17,0
195,15,1
209,13,0
196,7,0
210,24,1
205,24,1
193,23,1
208,33,1
175,23,1
187,27,1
196,28,1
195,16,0
181,16,0
187,18,0
204,21,1
214,25,1
210,20,0
174,17,1
211,22,0
184,15,0
185,16,0
175,18,1
194,27,1
206,22,1
182,23,1
212,12,0
213,23,1
176,14,0
206,19,0
210,18,0
217,22,0
180,16,0
182,17,0
199,25,1
202,16,1
210,23,1
211,16,0
179,17,1
223,20,1
211,23,1
202,26,1
205,12,0
207,26,1
190,14,0
212,20,0
208,21,1
210,22,1
201,7,0
200,16,0
195,26,1
206,11,0
193,14,0
214,24,1
