aspiration,enginelocation,carwidth,curbweight,enginetype,cylindernumber,stroke,peakrpm,price
std,front,64.1,2548,dohc,four,2.68,5000,13495.0
std,front,64.1,2548,dohc,four,2.68,5000,16500.0
std,front,65.5,2823,ohcv,six,3.47,5000,16500.0
std,front,65.88793969849246,2337,ohc,four,3.4,5500,13950.0
std,front,66.4,2824,ohc,five,3.4,5500,17450.0
std,front,66.3,2507,ohc,five,3.4,5500,15250.0
std,front,71.4,2844,ohc,five,3.4,5500,17710.0
std,front,65.88793969849246,2954,ohc,five,3.4,5500,18920.0
turbo,front,71.4,3086,ohc,five,3.4,5500,23875.0
turbo,front,67.9,3053,ohc,five,3.4,5500,17859.167
std,front,64.8,2395,ohc,four,2.8,5800,16430.0
std,front,64.8,2395,ohc,four,2.8,5800,16925.0
std,front,64.8,2710,ohc,six,3.19,4250,20970.0
std,front,64.8,2765,ohc,six,3.19,4250,21105.0
std,front,66.9,3055,ohc,six,3.19,4250,24565.0
std,front,66.9,3230,ohc,six,3.39,5400,30760.0
std,front,67.9,3380,ohc,six,3.39,5400,41315.0
std,front,70.9,3505,ohc,six,3.39,5400,36880.0
std,front,60.3,1488,l,three,3.03,5100,5151.0
std,front,65.88793969849246,1874,ohc,four,3.11,5400,6295.0
std,front,63.6,1909,ohc,four,3.11,5400,6575.0
std,front,63.8,1876,ohc,four,3.23,5500,5572.0
std,front,63.8,1876,ohc,four,3.23,5500,6377.0
turbo,front,63.8,2128,ohc,four,3.39,5500,7957.0
std,front,63.8,1967,ohc,four,3.23,5500,6229.0
std,front,63.8,1989,ohc,four,3.23,5500,6692.0
std,front,63.8,1989,ohc,four,3.23,5500,7609.0
turbo,front,63.8,2191,ohc,four,3.39,5500,8558.0
std,front,64.6,2535,ohc,four,3.46,5000,8921.0
turbo,front,66.3,2811,ohc,four,3.9,5000,12964.0
std,front,63.9,1713,ohc,four,3.41,4800,6479.0
std,front,63.9,1819,ohc,four,3.41,6000,6855.0
std,front,64.0,1837,ohc,four,3.07,5500,5399.0
std,front,64.0,1940,ohc,four,3.41,6000,6529.0
std,front,64.0,1956,ohc,four,3.41,6000,7129.0
std,front,64.0,2010,ohc,four,3.41,6000,7295.0
std,front,63.9,2024,ohc,four,3.41,6000,7295.0
std,front,65.2,2236,ohc,four,3.58,5800,7895.0
std,front,65.2,2289,ohc,four,3.58,5800,9095.0
std,front,65.2,2304,ohc,four,3.58,5800,8845.0
std,front,65.88793969849246,2372,ohc,four,3.58,5800,10295.0
std,front,65.2,2465,ohc,four,3.58,5800,12945.0
std,front,66.0,2293,ohc,four,3.58,5500,10345.0
std,front,61.8,2337,ohc,four,3.23,4800,6785.0
std,front,63.6,1874,ohc,four,3.11,5400,8916.5
std,front,63.6,1909,ohc,four,3.11,5400,8916.5
std,front,65.2,2734,ohc,four,3.23,5000,11048.0
std,front,69.6,4066,dohc,six,4.17,4750,32250.0
std,front,65.88793969849246,4066,dohc,six,4.17,4750,35550.0
std,front,70.6,3950,ohcv,twelve,2.76,5000,36000.0
std,front,64.2,1890,ohc,four,3.15,5000,5195.0
std,front,64.2,1900,ohc,four,3.15,5000,6095.0
std,front,64.2,1905,ohc,four,3.15,5000,6795.0
std,front,64.2,1945,ohc,four,3.15,5000,6695.0
std,front,64.2,1950,ohc,four,3.15,5000,7395.0
std,front,65.7,2380,rotor,two,3.255,6000,10945.0
std,front,65.7,2380,rotor,two,3.255,6000,11845.0
std,front,65.7,2385,rotor,two,3.255,6000,13645.0
std,front,65.7,2500,rotor,two,3.255,6000,15645.0
std,front,66.5,2385,ohc,four,3.39,4800,8845.0
std,front,66.5,2410,ohc,four,3.39,4800,8495.0
std,front,66.5,2385,ohc,four,3.39,4800,10595.0
std,front,66.5,2410,ohc,four,3.39,4800,10245.0
std,front,66.5,2443,ohc,four,3.39,4650,10795.0
std,front,66.5,2425,ohc,four,3.39,4800,11245.0
std,front,66.1,2670,ohc,four,3.16,5000,18280.0
std,front,65.88793969849246,2700,ohc,four,3.64,4200,18344.0
turbo,front,70.3,3515,ohc,five,3.64,4350,25552.0
turbo,front,70.3,3750,ohc,five,3.64,4350,28248.0
turbo,front,70.3,3495,ohc,five,3.64,4350,28176.0
turbo,front,71.7,3770,ohc,five,3.64,4350,31600.0
std,front,71.7,3740,ohcv,eight,3.1,4750,34184.0
std,front,70.5,3685,ohcv,eight,3.1,4750,35056.0
std,front,71.7,3900,ohcv,eight,3.35,4500,40960.0
std,front,72.0,3715,ohcv,eight,3.35,4500,45400.0
turbo,front,68.0,2910,ohc,four,3.12,5000,16503.0
std,front,64.4,1918,ohc,four,3.23,5500,5389.0
std,front,64.4,1944,ohc,four,3.23,5500,6189.0
std,front,64.4,2004,ohc,four,3.23,5500,6669.0
turbo,front,63.8,2145,ohc,four,3.39,5500,7689.0
turbo,front,65.4,2370,ohc,four,3.46,5500,9959.0
std,front,65.4,2328,ohc,four,3.46,5000,8499.0
turbo,front,66.3,2833,ohc,four,3.86,5000,12629.0
turbo,front,66.3,2921,ohc,four,3.86,5000,14869.0
turbo,front,66.3,2926,ohc,four,3.86,5000,14489.0
std,front,65.4,2365,ohc,four,3.46,5000,6989.0
std,front,65.4,2405,ohc,four,3.46,5000,8189.0
turbo,front,65.4,2403,ohc,four,3.46,5500,9279.0
std,front,65.4,2403,ohc,four,3.46,5500,9279.0
std,front,63.8,1889,ohc,four,3.29,5200,5499.0
std,front,63.8,2017,ohc,four,3.47,4800,7099.0
std,front,63.8,1918,ohc,four,3.29,5200,6649.0
std,front,63.8,1938,ohc,four,3.29,5200,6849.0
std,front,63.8,2024,ohc,four,3.29,5200,7349.0
std,front,63.8,1951,ohc,four,3.29,5200,7299.0
std,front,63.8,2028,ohc,four,3.29,5200,7799.0
std,front,63.8,1971,ohc,four,3.29,5200,7499.0
std,front,63.8,2037,ohc,four,3.29,5200,7999.0
std,front,63.8,2008,ohc,four,3.29,5200,8249.0
std,front,65.2,2324,ohc,four,3.47,5200,8949.0
std,front,65.2,2302,ohc,four,3.47,5200,9549.0
std,front,66.5,3095,ohcv,six,3.27,5200,13499.0
std,front,66.5,3296,ohcv,six,3.27,5200,14399.0
std,front,66.5,3060,ohcv,six,3.27,5200,13499.0
std,front,67.9,3071,ohcv,six,3.27,5200,17199.0
turbo,front,67.9,3139,ohcv,six,3.27,5200,19699.0
std,front,67.9,3139,ohcv,six,3.27,5200,18399.0
std,front,68.4,3020,l,four,3.19,5000,11900.0
turbo,front,68.4,3197,l,four,3.52,4150,13200.0
std,front,68.4,3230,l,four,3.19,5000,12440.0
turbo,front,68.4,3430,l,four,3.52,4150,13860.0
std,front,68.4,3075,l,four,2.19,5000,15580.0
turbo,front,68.4,3252,l,four,3.52,4150,16900.0
std,front,68.4,3285,l,four,2.19,5000,16695.0
turbo,front,68.4,3485,l,four,3.52,4150,17075.0
std,front,68.4,3075,l,four,3.19,5000,16630.0
turbo,front,68.4,3252,l,four,3.52,4150,17950.0
turbo,front,68.3,3130,l,four,3.21,5600,18150.0
std,front,63.8,1918,ohc,four,3.23,5500,5572.0
turbo,front,63.8,2128,ohc,four,3.39,5500,7957.0
std,front,63.8,1967,ohc,four,3.23,5500,6229.0
std,front,63.8,1989,ohc,four,3.23,5500,6692.0
std,front,63.8,2191,ohc,four,3.23,5500,7609.0
std,front,64.6,2535,ohc,four,3.46,5000,8921.0
turbo,front,66.3,2818,ohc,four,3.86,5000,12764.0
std,front,68.3,2778,ohc,four,3.11,5500,22018.0
std,rear,65.0,2756,ohcf,six,2.9,5900,32528.0
std,rear,65.0,2756,ohcf,six,2.9,5900,34028.0
std,rear,65.0,2800,ohcf,six,2.9,5900,37028.0
std,front,72.3,3366,dohcv,eight,3.11,5750,31400.5
std,front,66.5,2579,ohc,four,3.9,5100,9295.0
std,front,66.6,2460,ohc,four,3.9,5100,9895.0
std,front,66.5,2658,ohc,four,3.07,5250,11850.0
std,front,66.5,2695,ohc,four,3.07,5250,12170.0
std,front,66.5,2707,ohc,four,2.07,5250,15040.0
std,front,66.5,2758,ohc,four,3.07,5250,15510.0
turbo,front,66.5,2808,dohc,four,3.07,5500,18150.0
turbo,front,66.5,2847,dohc,four,3.07,5500,18620.0
std,front,63.4,2050,ohcf,four,2.36,4900,5118.0
std,front,63.6,2120,ohcf,four,2.64,4400,7053.0
std,front,63.8,2240,ohcf,four,2.64,4400,7603.0
std,front,65.4,2145,ohcf,four,2.64,4800,7126.0
std,front,65.4,2190,ohcf,four,2.64,4400,7775.0
std,front,65.4,2340,ohcf,four,2.64,5200,9960.0
std,front,65.4,2385,ohcf,four,2.64,4800,9233.0
turbo,front,65.4,2510,ohcf,four,2.64,4800,11259.0
std,front,65.4,2290,ohcf,four,2.64,4800,7463.0
std,front,65.4,2455,ohcf,four,2.64,5200,10198.0
std,front,65.4,2420,ohcf,four,2.64,4800,8013.0
turbo,front,65.4,2650,ohcf,four,2.64,4800,11694.0
std,front,63.6,1985,ohc,four,3.03,4800,5348.0
std,front,63.6,2040,ohc,four,3.03,4800,6338.0
std,front,63.6,2015,ohc,four,3.03,4800,6488.0
std,front,63.6,2280,ohc,four,3.03,4800,6918.0
std,front,63.6,2290,ohc,four,3.03,4800,7898.0
std,front,63.6,3110,ohc,four,3.03,4800,8778.0
std,front,64.4,2081,ohc,four,3.03,4800,6938.0
std,front,64.4,2109,ohc,four,3.03,4800,7198.0
std,front,64.4,2275,ohc,four,3.35,4500,7898.0
std,front,64.4,2275,ohc,four,3.35,4500,7788.0
std,front,64.4,2094,ohc,four,3.03,4800,7738.0
std,front,64.4,2122,ohc,four,3.03,4800,8358.0
std,front,64.4,2140,ohc,four,3.03,4800,9258.0
std,front,64.0,2169,ohc,four,3.03,4800,8058.0
std,front,64.0,2204,ohc,four,3.03,4800,8238.0
std,front,64.0,2265,dohc,four,3.08,6600,9298.0
std,front,64.0,2300,dohc,four,3.08,6600,9538.0
std,front,65.6,2540,ohc,four,3.5,4800,8449.0
std,front,65.6,2536,ohc,four,3.5,4800,9639.0
std,front,65.6,2551,ohc,four,3.5,4800,9989.0
std,front,65.6,2679,ohc,four,3.5,4800,11199.0
std,front,65.6,2714,ohc,four,3.5,4800,11549.0
std,front,65.6,2975,ohc,four,3.5,4800,17669.0
std,front,66.5,2326,ohc,four,3.54,4200,8948.0
turbo,front,66.5,2480,ohc,four,3.35,4500,10698.0
std,front,66.5,2414,ohc,four,3.54,4200,9988.0
std,front,66.5,2414,ohc,four,3.54,4200,10898.0
std,front,66.5,2458,ohc,four,3.54,4200,11248.0
std,front,67.7,2976,dohc,six,3.35,5200,16558.0
std,front,67.7,3016,dohc,six,3.35,5200,15998.0
std,front,66.5,3131,dohc,six,3.35,5200,15690.0
std,front,66.5,3151,dohc,six,3.35,5200,15750.0
std,front,65.5,2261,ohc,four,3.4,4800,7775.0
std,front,65.5,2209,ohc,four,3.4,5250,7975.0
std,front,65.5,2264,ohc,four,3.4,4800,7995.0
std,front,65.5,2212,ohc,four,3.4,5250,8195.0
std,front,65.5,2275,ohc,four,3.4,5250,8495.0
turbo,front,65.5,2319,ohc,four,3.4,4500,9495.0
std,front,65.5,2300,ohc,four,3.4,5500,9995.0
std,front,64.2,2254,ohc,four,3.4,5500,11595.0
std,front,64.0,2221,ohc,four,3.4,5500,9980.0
std,front,66.9,2661,ohc,five,3.4,5500,13295.0
turbo,front,66.9,2579,ohc,four,3.4,4500,13845.0
std,front,66.9,2563,ohc,four,3.4,5500,12290.0
std,front,67.2,2912,ohc,four,3.15,5400,12940.0
std,front,67.2,3034,ohc,four,3.15,5400,13415.0
std,front,67.2,2935,ohc,four,3.15,5400,15985.0
std,front,67.2,3042,ohc,four,3.15,5400,16515.0
turbo,front,67.2,3045,ohc,four,3.15,5100,18420.0
turbo,front,67.2,3157,ohc,four,3.15,5100,18950.0
std,front,68.9,2952,ohc,four,3.15,5400,16845.0
turbo,front,68.8,3049,ohc,four,3.15,5300,19045.0
std,front,68.9,3012,ohcv,six,2.87,5500,21485.0
turbo,front,68.9,3217,ohc,six,3.4,4800,22470.0
turbo,front,68.9,3062,ohc,four,3.15,5400,22625.0
