customer_state,seller_state,product_weight_g,product_length_cm,product_height_cm,product_width_cm,order_purchase_timestamp,order_delivered_customer_date
RJ,SP,1825,53,10,40,18/09/2017 20:11,28/09/2017 19:19
RJ,SP,700,65,18,28,16/10/2017 14:12,25/10/2017 16:43
RJ,SP,1825,53,10,40,14/04/2018 00:04,25/04/2018 23:10
RJ,SP,1825,53,10,40,10/10/2017 15:32,23/10/2017 12:09
RJ,SP,1825,53,10,40,26/09/2017 11:51,10/10/2017 18:05
RJ,SP,200,45,15,35,13/01/2018 10:43,02/02/2018 17:32
RJ,SP,17150,58,61,24,27/01/2017 22:14,14/02/2017 13:15
RJ,SP,550,60,10,40,03/04/2018 16:17,04/05/2018 22:16
SP,SP,950,45,15,35,15/05/2018 08:57,21/05/2018 16:56
SP,SP,950,45,15,35,13/07/2018 20:08,20/07/2018 18:03
SP,SP,950,45,15,35,19/06/2017 20:32,28/06/2017 15:32
SP,SP,950,45,15,35,23/05/2018 19:23,06/06/2018 23:24
SP,SP,15467,64,62,25,29/05/2018 11:37,13/06/2018 14:29
MG,SP,1825,53,10,40,19/10/2017 11:58,30/10/2017 15:09
SP,SP,15925,44,57,27,03/04/2018 18:51,04/04/2018 16:04
SP,SP,11880,50,60,27,18/04/2018 14:48,30/04/2018 18:28
SP,SC,10150,89,15,40,17/04/2018 14:16,24/04/2018 16:42
MG,SP,1825,53,10,40,28/11/2017 10:12,14/12/2017 22:07
RJ,SP,5350,40,20,40,21/05/2017 14:37,30/05/2017 14:47
SP,SP,16167,64,62,25,18/10/2017 12:34,31/10/2017 18:57
RS,SP,2600,40,45,39,04/02/2017 22:15,05/02/2017 13:53
SP,SP,11880,50,60,27,27/01/2018 00:10,21/02/2018 23:33
SP,SP,7100,37,41,37,18/08/2017 23:10,30/08/2017 18:34
RJ,SP,8633,42,64,43,26/01/2018 13:39,14/02/2018 21:25
MG,SP,700,65,18,28,24/02/2018 07:55,28/03/2018 18:46
MG,SP,950,45,15,35,13/06/2017 12:35,27/06/2017 18:03
SP,SP,21200,45,15,25,21/08/2017 18:18,31/08/2017 00:04
SP,SP,13550,58,55,24,14/05/2017 22:54,24/05/2017 16:22
MG,SP,9125,57,55,22,03/03/2018 23:46,26/03/2018 21:52
SP,SP,19800,45,15,35,13/10/2017 19:05,24/10/2017 22:22
SP,SP,13550,58,55,24,13/06/2018 09:32,26/06/2018 01:24
SP,SP,7575,52,52,17,19/06/2017 23:45,26/06/2017 12:14
BA,SP,10500,52,50,16,15/07/2017 16:01,18/08/2017 17:57
SP,SP,950,45,15,35,05/04/2017 01:32,18/05/2017 18:26
RJ,SP,11875,57,55,22,06/07/2018 12:27,23/07/2018 16:04
RJ,SP,11875,57,55,22,07/07/2017 16:09,25/07/2017 22:21
RS,SP,2600,40,45,39,31/07/2017 16:50,14/08/2017 19:39
SP,SP,27200,48,45,56,14/08/2017 18:56,26/08/2017 15:56
RS,SP,8975,35,52,36,29/07/2017 22:07,22/08/2017 16:19
SP,SP,9750,42,41,42,29/07/2017 11:55,16/08/2017 17:14
