,id,latitude,longitude,name,opening_hours,rating,utc_offset
0,ChIJa6LNPgpu5kcRhgsb7MbmHw8,48.8719869,2.366609,PRUNE DE NUIT,"{'0': [], '1': [], '2': [], '3': [], '4': [], '5': [], '6': []}",4.8,60
1,ChIJaVQu_JBx5kcRJfHbsRGxRB0,48.82822900000001,2.3501436,Cafe du Commerce,"{'0': [{'_1': 12.0, '_2': 15.0}, {'_1': 19.0, '_2': 24.0}, {'_1': 0.0, '_2': 2.0}], '1': [{'_1': 0.0, '_2': 2.0}], '2': [{'_1': 12.0, '_2': 15.0}, {'_1': 19.0, '_2': 24.0}], '3': [{'_1': 0.0, '_2': 2.0}, {'_1': 12.0, '_2': 15.0}, {'_1': 19.0, '_2': 24.0}], '4': [{'_1': 0.0, '_2': 2.0}, {'_1': 12.0, '_2': 15.0}, {'_1': 19.0, '_2': 24.0}], '5': [{'_1': 0.0, '_2': 2.0}, {'_1': 12.0, '_2': 15.0}, {'_1': 19.0, '_2': 24.0}], '6': [{'_1': 0.0, '_2': 2.0}, {'_1': 12.0, '_2': 15.0}, {'_1': 19.0, '_2': 24.0}]}",3.8,60
2,ChIJ773XIjRu5kcRsQxQXK-vgjc,48.8728825,2.3290334,Ce 9,"{'0': [], '1': [], '2': [], '3': [], '4': [], '5': [], '6': []}",0.0,60
3,ChIJ75q8H_hC5kcRyqJmeICPr2Y,49.0482166,2.3362524,Morocco Restaurant,"{'0': [{'_1': 12.0, '_2': 14.5}], '1': [], '2': [{'_1': 12.0, '_2': 14.5}, {'_1': 19.0, '_2': 22.5}], '3': [{'_1': 12.0, '_2': 14.5}, {'_1': 19.0, '_2': 22.5}], '4': [{'_1': 12.0, '_2': 14.5}, {'_1': 19.0, '_2': 22.5}], '5': [{'_1': 12.0, '_2': 14.5}, {'_1': 19.0, '_2': 22.5}], '6': [{'_1': 12.0, '_2': 14.5}, {'_1': 19.0, '_2': 22.5}]}",3.7,60
4,ChIJQ64x_xVu5kcRSExgSm4ySNA,48.8715366,2.3457812,Okinawa Sushi,"{'0': [{'_1': 19.25, '_2': 23.0}], '1': [{'_1': 11.5, '_2': 14.5}, {'_1': 19.25, '_2': 23.0}], '2': [{'_1': 11.5, '_2': 14.5}, {'_1': 19.25, '_2': 23.0}], '3': [{'_1': 11.5, '_2': 14.5}, {'_1': 19.25, '_2': 23.0}], '4': [{'_1': 11.5, '_2': 14.5}, {'_1': 19.25, '_2': 23.0}], '5': [{'_1': 11.5, '_2': 14.5}, {'_1': 19.25, '_2': 23.0}], '6': [{'_1': 11.5, '_2': 14.5}, {'_1': 19.25, '_2': 23.0}]}",3.6,60
5,ChIJnSdJuBtu5kcRDjV7OcUbw3U,48.8628654,2.352111599999999,Sainmart,"{'0': [], '1': [], '2': [], '3': [], '4': [], '5': [], '6': []}",0.0,60
6,ChIJR2qQ4vxt5kcRFDrt-Xn8Z58,48.8639709,2.3704037,Sarl Rihosa Hopson,"{'0': [], '1': [], '2': [], '3': [], '4': [], '5': [], '6': []}",0.0,60
7,ChIJ_xqB6TZu5kcRygNHisEgUaM,48.8730121,2.3307481,Cafe Paulette,"{'0': [{'_1': 11.0, '_2': 19.0}], '1': [{'_1': 9.5, '_2': 21.5}], '2': [{'_1': 9.5, '_2': 21.5}], '3': [{'_1': 9.5, '_2': 21.5}], '4': [{'_1': 9.5, '_2': 21.5}], '5': [{'_1': 9.5, '_2': 21.5}], '6': [{'_1': 9.5, '_2': 21.5}]}",0.0,60
8,ChIJVSx9h35MHRURuTfjyIiRjV4,32.0774305,34.7690306,Pizza Bograshov,"{'0': [], '1': [], '2': [], '3': [], '4': [], '5': [], '6': []}",0.0,120
9,ChIJPZrqSSNy5kcRJMI1PDVUt_Y,48.83101509999999,2.3759411,IT,"{'0': [{'_1': 12.0, '_2': 22.5}], '1': [{'_1': 8.0, '_2': 22.5}], '2': [{'_1': 8.0, '_2': 22.5}], '3': [{'_1': 8.0, '_2': 22.5}], '4': [{'_1': 8.0, '_2': 22.5}], '5': [{'_1': 8.0, '_2': 23.0}], '6': [{'_1': 12.0, '_2': 23.0}]}",3.6,60
