Height,3-Pointers,Pro-Player
187,24,1
210,15,0
184,15,0
208,19,1
175,15,0
173,13,1
197,7,0
172,20,1
195,6,0
226,20,0
195,15,0
196,27,1
204,8,0
217,22,0
181,14,0
192,14,0
206,11,0
178,17,1
217,20,1
202,26,1
185,14,0
205,25,1
172,14,0
215,21,1
187,23,1
217,24,0
183,16,0
202,24,1
202,10,0
173,17,0
207,17,0
186,15,0
183,18,0
189,16,0
203,11,0
196,26,1
210,17,0
186,22,1
186,15,0
201,15,0
207,23,1
183,22,1
221,26,1
203,24,1
206,14,0
177,21,1
188,25,1
190,17,0
195,15,1
209,13,0
196,7,0
210,24,1
205,24,1
193,23,1
208,33,1
175,23,1
187,27,1
196,28,1
195,16,0
181,16,0
187,18,0
204,21,1
214,25,1
210,20,0
174,17,1
211,22,0
184,15,0
185,16,0
175,18,1
194,27,1
206,22,1
182,23,1
212,12,0
213,23,1
176,14,0
206,19,0
210,18,0
217,22,0
180,16,0
182,17,0
199,25,1
202,16,1
210,23,1
211,16,0
179,17,1
223,20,1
211,23,1
202,26,1
205,12,0
207,26,1
190,14,0
212,20,0
208,21,1
210,22,1
201,7,0
200,16,0
195,26,1
206,11,0
193,14,0
214,24,1
210,25,1
197,15,0
207,25,1
208,24,1
186,17,0
217,18,0
208,22,1
208,22,1
206,17,0
180,23,1
208,23,1
177,16,0
184,15,0
204,16,0
189,18,0
190,13,0
201,30,1
183,21,1
208,16,0
193,15,0
182,20,1
176,18,1
173,17,1
189,15,0
209,14,0
209,22,1
177,17,0
188,15,0
179,22,1
175,20,1
204,23,1
182,16,0
181,17,0
212,18,0
200,13,0
172,19,1
187,23,1
215,23,1
213,21,0
193,26,1
194,27,1
213,16,0
177,16,0
188,16,0
206,12,0
197,18,0
198,18,0
194,26,1
176,18,1
213,23,1
189,15,0
182,23,1
170,17,1
210,18,0
217,18,0
182,23,1
221,25,1
191,6,0
216,20,0
209,20,1
210,17,1
191,16,0
212,23,0
213,21,1
207,17,0
192,14,0
187,17,0
209,14,0
205,14,0
213,19,0
214,16,0
187,17,0
180,14,0
219,24,1
211,18,1
171,14,1
201,14,0
195,10,0
205,8,0
205,23,1
193,17,0
187,25,1
214,22,0
182,17,0
209,25,1
199,10,0
208,24,1
211,24,1
186,23,1
207,28,1
183,15,0
215,23,0
212,19,0
204,24,1
210,18,0
194,16,0
208,19,1
213,27,1
212,12,0
200,29,1
220,21,1
210,14,0
202,16,0
187,14,0
218,21,1
192,15,0
191,15,0
210,27,1
212,21,1
180,18,0
208,31,1
223,26,1
210,16,0
207,13,0
201,23,1
219,19,0
190,23,1
202,13,0
210,20,0
204,22,1
195,16,0
206,16,0
201,10,0
188,16,0
212,24,1
201,30,1
209,14,0
222,25,0
193,23,1
186,17,0
209,26,1
180,16,0
188,23,1
201,9,0
204,12,0
190,14,0
207,17,0
209,17,0
188,14,0
188,15,0
182,21,1
201,27,1
181,15,0
210,27,1
199,30,1
193,16,0
209,8,0
206,22,1
180,14,0
195,7,0
181,16,0
185,13,0
204,28,1
194,15,0
189,24,1
187,27,1
199,14,0
185,17,0
215,28,1
193,15,0
185,21,1
209,27,1
188,14,0
212,16,0
220,23,1
192,26,1
202,16,0
183,19,1
192,16,0
213,20,1
181,23,1
210,20,0
203,25,1
211,17,0
185,15,0
206,24,0
213,20,1
216,26,1
196,17,0
193,16,0
197,11,0
216,16,0
215,21,0
198,28,1
191,16,0
219,25,0
207,20,1
195,16,0
183,15,0
197,22,1
207,12,0
185,13,0
216,14,0
213,16,0
203,27,1
203,22,1
221,27,1
193,26,1
190,27,1
212,21,1
210,25,1
181,25,1
220,22,0
208,22,1
208,14,0
200,14,0
210,16,0
201,6,0
174,19,1
184,16,0
209,17,0
209,16,0
207,24,1
208,24,1
201,26,1
188,27,1
211,22,1
206,24,1
209,16,1
190,25,1
191,16,0
206,20,1
211,15,0
185,16,0
212,24,1
200,29,1
202,24,1
185,24,1
176,15,0
209,19,0
210,15,0
203,15,0
184,23,1
181,19,1
209,18,0
174,18,0
200,22,1
172,19,1
180,18,1
180,21,1
180,20,1
189,17,0
205,25,1
221,23,1
220,22,1
203,25,1
202,11,0
186,23,1
206,13,0
186,17,0
207,23,1
212,19,0
205,23,1
201,6,0
192,25,1
188,17,0
214,16,0
210,24,1
209,23,1
202,10,0
196,31,1
183,16,0
220,27,0
205,22,1
163,16,0
203,31,1
189,0,0
183,24,1
191,25,1
209,21,0
200,30,1
204,20,1
179,16,0
177,20,1
217,20,0
191,4,0
188,15,0
187,25,1
190,24,1
202,27,1
195,13,0
210,22,1
206,21,0
179,18,0
178,23,1
183,16,0
182,19,1
176,20,1
171,16,1
210,23,1
199,27,1
191,16,0
175,19,1
193,15,0
188,25,1
202,11,0
211,19,0
209,24,1
210,15,0
183,20,1
202,11,0
217,22,1
194,26,1
206,24,1
204,22,1
220,28,1
209,15,0
189,22,1
197,27,1
184,15,0
177,23,1
217,23,1
175,13,0
201,27,1
204,12,0
207,23,1
212,18,0
190,16,0
190,16,0
212,25,1
189,16,0
188,27,1
187,16,0
212,13,0
212,15,0
213,20,0
215,23,1
203,9,0
210,18,0
173,20,1
216,24,1
204,27,1
178,15,1
208,19,1
183,23,1
181,13,0
203,6,0
221,26,1
211,22,1
216,20,1
195,24,1
180,17,0
199,28,1
209,13,0
195,24,1
180,13,0
181,16,0
188,16,0
201,10,0
202,24,1
192,26,1
219,27,0
171,15,0
191,16,0
174,20,1
194,18,0
213,24,1
196,25,1
214,19,0
211,16,0
187,22,1
189,24,1
221,27,0
205,14,0
202,8,0
211,18,0
207,18,0
185,15,0
184,15,0
201,22,1
215,19,0
188,22,1
200,12,0
189,23,1
207,24,1
176,16,0
176,15,0
169,15,1
209,19,0
212,25,1
212,18,0
178,15,0
211,21,1
196,25,1
190,24,1
211,23,1
207,16,0
208,27,1
215,22,1
196,16,0
202,9,0
211,23,1
188,21,1
192,14,0
193,15,0
208,19,0
212,14,0
198,15,0
207,25,1
189,17,0
207,24,1
215,22,1
214,26,1
213,13,0
176,19,0
203,31,1
180,23,1
200,24,1
216,25,1
214,22,1
189,14,0
193,27,1
200,13,0
205,26,1
205,12,0
211,15,0
184,26,1
212,18,0
214,24,1
198,25,1
191,9,0
199,27,1
207,8,0
201,16,0
195,26,1
182,23,1
212,22,1
211,16,0
212,21,0
192,25,1
212,19,0
210,24,1
153,11,1
202,17,1
207,15,0
185,26,1
198,28,1
204,11,0
210,24,1
200,28,1
214,22,1
202,12,0
216,33,1
180,14,0
209,16,0
179,20,1
225,21,1
213,21,1
176,14,0
204,14,0
206,12,0
188,22,1
207,25,1
211,22,0
215,20,1
180,20,1
204,16,0
179,20,1
186,25,1
202,4,0
206,26,1
171,17,1
197,26,1
189,17,0
199,24,1
218,22,1
193,24,1
212,20,1
204,26,1
182,18,0
183,18,0
211,16,0
173,21,1
207,20,1
186,16,0
182,16,0
205,10,0
204,30,1
194,27,1
185,15,0
186,16,0
184,14,0
212,24,1
214,18,0
213,18,0
196,24,1
176,20,0
173,17,1
211,21,1
216,26,0
192,15,0
202,25,1
193,25,1
193,26,1
182,16,0
183,23,1
210,22,1
185,15,0
202,14,0
221,22,0
202,22,1
201,18,0
180,17,0
184,16,0
198,29,1
183,16,0
182,17,0
186,16,0
192,30,1
217,23,0
207,10,0
188,16,0
206,15,0
175,15,0
184,17,0
202,25,1
188,25,1
200,16,1
189,28,1
209,13,0
199,27,1
210,24,1
201,17,0
182,24,1
192,13,0
201,30,1
217,22,1
207,26,1
183,14,0
211,20,1
215,19,0
164,17,1
177,14,0
202,29,1
217,26,1
205,28,1
207,17,0
205,12,0
194,27,1
170,17,1
180,16,0
176,16,0
209,24,1
185,21,1
223,25,0
210,23,1
184,17,0
205,16,0
201,21,1
195,24,1
181,18,1
183,15,0
180,20,1
188,16,0
190,23,1
209,13,0
217,24,0
196,17,0
167,16,1
204,26,1
197,15,0
213,21,1
206,26,1
213,19,0
209,21,1
172,21,1
173,21,1
184,15,0
203,18,1
198,25,1
204,11,0
185,24,1
163,14,0
190,15,0
189,16,0
192,5,0
189,24,1
193,16,0
178,16,0
193,26,1
184,22,1
218,22,1
181,16,0
189,15,0
193,15,0
207,9,0
217,21,0
188,16,0
212,15,0
211,26,1
215,19,0
194,25,1
212,22,1
212,22,0
216,23,1
192,28,1
218,22,0
213,22,1
190,14,0
219,24,1
212,18,0
187,24,1
203,23,1
216,21,1
212,21,0
210,17,0
204,15,0
176,23,1
211,15,0
216,24,1
216,26,1
207,24,1
177,18,1
191,18,0
192,16,0
207,24,1
216,27,1
192,16,0
180,15,0
188,15,0
179,18,1
186,23,1
202,25,1
187,18,0
193,16,0
209,24,1
180,17,0
190,23,1
209,23,1
200,28,1
202,26,1
178,17,1
206,23,1
214,27,1
178,22,1
187,16,0
204,13,0
184,23,1
203,10,0
206,14,0
195,15,0
186,17,0
191,15,0
207,27,1
191,6,0
200,12,0
197,29,1
182,16,0
179,15,0
212,17,0
224,23,0
195,13,0
182,21,1
193,28,1
196,28,1
192,14,0
217,18,0
196,25,1
179,21,1
201,29,1
196,24,1
204,23,1
189,23,1
207,23,1
195,25,1
201,13,0
181,15,0
209,22,1
180,14,0
191,14,0
208,13,0
178,20,1
203,24,1
209,14,0
220,20,1
208,15,0
210,20,0
198,29,1
187,15,0
206,15,0
193,16,0
215,19,0
189,14,0
209,15,0
193,26,1
211,22,1
188,14,0
206,25,1
192,21,1
189,26,1
210,14,0
204,10,0
215,23,1
184,15,0
204,9,0
217,23,1
206,24,1
207,20,0
196,25,1
190,22,1
210,23,1
207,23,1
208,15,0
202,13,0
212,15,0
208,24,1
220,23,1
206,10,0
191,17,0
207,25,1
202,11,0
203,25,1
193,17,0
200,8,0
195,25,0
192,16,0
212,23,1
196,27,1
218,23,0
200,28,1
202,31,1
211,14,0
214,22,1
204,18,0
208,25,1
210,14,0
188,24,1
199,16,0
182,19,1
182,24,1
195,26,1
212,19,1
212,21,0
182,23,1
215,25,1
187,25,1
205,15,0
192,25,1
191,15,0
223,23,0
219,20,0
213,16,0
212,20,0
199,25,1
205,9,0
190,14,0
203,30,1
184,17,0
191,24,1
197,14,0
185,15,0
170,15,0
182,17,0
206,11,0
201,24,1
186,22,1
204,16,0
221,27,0
190,22,1
202,12,0
197,22,1
187,16,0
187,18,0
190,17,0
204,21,1
219,21,0
191,16,0
186,20,1
197,30,1
172,18,0
184,15,0
183,22,1
203,24,1
205,25,1
176,14,0
173,15,0
208,20,0
217,20,0
208,17,0
197,27,1
157,14,1
218,22,0
215,18,0
218,20,0
209,18,0
208,17,0
180,15,0
185,17,0
200,30,1
185,23,1
223,19,1
218,23,1
208,20,0
184,24,1
219,21,0
170,16,1
196,16,0
213,24,1
210,23,1
178,16,0
174,17,1
213,16,0
184,22,1
192,17,0
209,15,0
205,15,0
183,22,1
213,25,1
203,25,1
185,25,1
205,28,1
196,22,1
191,25,1
186,14,0
218,22,0
184,16,0
187,14,0
214,22,1
199,28,1
208,11,0
190,14,0
178,18,1
205,24,1
184,14,0
189,14,0
192,23,1
221,21,1
215,20,0
187,15,0
202,24,1
207,19,0
193,16,0
180,16,0
182,22,1
185,17,0
207,16,0
206,25,1
183,16,0
179,20,1
190,17,0
190,16,0
205,26,1
223,29,0
211,17,0
192,28,1
213,17,0
206,15,0
205,12,0
189,16,0
212,24,1
202,22,1
215,24,1
192,13,0
186,17,0
178,19,0
181,23,1
207,22,1
183,15,0
181,16,0
194,27,1
191,16,0
198,27,1
220,23,0
178,23,1
175,17,0
207,21,0
203,20,1
188,16,0
194,15,0
208,16,0
187,22,1
210,24,1
201,30,1
212,23,0
182,13,0
185,15,0
193,19,0
178,20,1
208,26,1
179,21,1
208,23,1
195,13,0
225,21,1
179,22,1
200,12,0
185,15,0
200,5,0
171,18,1
183,14,0
206,24,1
177,14,0
183,16,0
211,19,1
204,22,1
199,14,0
172,18,1
207,26,1
208,13,0
204,23,1
175,16,0
174,16,0
209,18,0
170,17,1
204,21,1
178,16,0
198,20,1
210,14,0
194,24,1
206,13,0
206,13,0
197,28,1
193,16,0
182,21,1
190,25,1
181,17,0
188,23,1
209,27,1
205,18,0
190,17,0
188,17,0
172,18,0
195,13,0
